bmi_group,variable,n,mean,sd,median,q1,q3
Normal,age,80,22.23,2.41,22,20,24
Normal,bmi,80,20.68,1.15,20.6,19.7,21.7
Normal,dietary_score,80,6.24,1.56,6.35,5.07,7.32
Normal,fasting_glucose,80,88.66,9.38,88,83.75,94
Normal,hdl,80,54.77,7.82,57,50,60.25
Normal,ldl,80,99.84,22.87,100,83,116
Normal,total_cholesterol,80,176.75,26.92,174,161.75,194.5
Normal,triglycerides,80,97.74,32.74,95.5,74,115
Overweight,age,70,21.81,2.34,22,20.25,23
Overweight,bmi,70,25.36,1.25,25.4,24.4,26.4
Overweight,dietary_score,70,5.5,1.35,5.5,4.8,6.6
Overweight,fasting_glucose,70,93.87,9.39,93.5,88,102
Overweight,hdl,70,44.91,7.36,44,41,49.75
Overweight,ldl,70,121.51,24.18,124,105.5,140.75
Overweight,total_cholesterol,70,202.59,25.69,200,185.5,220.5
Overweight,triglycerides,70,158.8,59.86,150.5,115.25,183.25
Obese,age,53,21.96,2.25,22,21,23
Obese,bmi,53,32.62,3.17,32.8,29.6,34.9
Obese,dietary_score,53,4.74,1.66,4.4,3.6,6
Obese,fasting_glucose,53,103.06,8.89,104,99,108
Obese,hdl,53,39.3,6.77,40,35,44
Obese,ldl,53,143.51,28.15,149,126,161
Obese,total_cholesterol,53,217.23,25.44,218,203,235
Obese,triglycerides,53,189.06,67.05,182,144,228
